Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
70	4145.803254828	59726.98773099869	2.471832593748094	2.554256741279369	3.516985	3.7474413	0.49727629366917414	0.43597648808315936
71	4202.981258555	59684.40010818423	2.477803018877632	2.556320425240221	3.5192468	3.7436924	0.4966294582785655	0.4371044922410777
72	4260.050979974	59634.215261839076	2.4815388155211817	2.5596247560581338	3.5274088	3.7512755	0.49429190525621847	0.43482175086774255
73	4316.952143447	59574.77821292223	2.477210556628125	2.5564650761078593	3.520593	3.7470808	0.49624430382896645	0.43608503798840004
74	4373.834455751	59538.83489917898	2.4846656063257444	2.5617421972067613	3.5298703	3.752514	0.4935858610815075	0.4344485613139908
75	4430.79652497	59507.12301641008	2.484981202522642	2.560227155196536	3.5305524	3.7532878	0.49339008194709	0.4342152669013404
76	4487.869818339001	59451.27422387278	2.481942467869319	2.5582320354370105	3.527345	3.7510495	0.49431021664633745	0.4348899256702732
77	4544.843684241	59422.45068569228	2.48085313234611	2.5573766588116165	3.5268443	3.7517493	0.4944537985687294	0.4346790778651901
78	4601.610795472	59384.44826653917	2.481789771157744	2.5583690720369194	3.5275824	3.7516217	0.4942420817408396	0.43471739930052866
79	4658.710790085001	59343.0469213275	2.481886011347033	2.559287564977207	3.5287452	3.7536423	0.49390860186414964	0.43410838052747125
80	4715.7969115000005	59091.520582669895	2.4808901613865784	2.557634983289182	3.5267434	3.751881	0.4944826104925154	0.4346393876405259
81	4772.813646325	59065.686382623535	2.4822197036016864	2.5582242339668073	3.5284874	3.7530687	0.49398251179448716	0.43428134785631023
82	4829.657246328	59031.7302716712	2.479213002865643	2.5562853333462834	3.5244324	3.750269	0.495144939397825	0.4351250009121099
83	4886.69574531	59012.52691537646	2.4823366461184557	2.5580131605670138	3.5275037	3.750954	0.4942646850194594	0.43491871477387256
84	4943.733947638	58986.92186074419	2.481081275955161	2.5568729268271926	3.5263727	3.750707	0.49458890454285287	0.4349931098259563
85	5000.611212445	58971.451694594994	2.4816169725231063	2.5575761354004083	3.5269897	3.7509894	0.49441202908631143	0.434908007874542
86	5057.226194537	58941.37966495278	2.4848864980997636	2.559711702975429	3.5326433	3.755592	0.49278981327444604	0.4335203447369559
87	5114.218222664001	58928.29435193527	2.483817110948636	2.5585259612839923	3.5298717	3.7528927	0.49358537023842175	0.43433431278042056
88	5171.306863479001	58907.834597260444	2.484109693054207	2.5590026151729557	3.5311666	3.7543514	0.4932138122325176	0.43389456911053725
89	5228.169080513	58894.45790488608	2.481223676619153	2.557995694415144	3.529115	3.7546132	0.4938025414442765	0.4338156028863367
90	5284.969205484001	58756.33555537754	2.481314141648399	2.557547139802465	3.528361	3.7530043	0.49401875767162085	0.4343007105735507
91	5342.04035493	58745.55839315665	2.483368340145239	2.558440690645572	3.5306652	3.7540915	0.4933577442976538	0.43397297599696216
92	5399.076888488	58731.41489739323	2.483856246485917	2.558634042140371	3.5308995	3.7538726	0.4932905417761928	0.4340389003662086
93	5456.114686001	58721.99077449527	2.4840156597543217	2.5587229007465715	3.5315988	3.754754	0.4930897617595936	0.433773152492285
94	5512.913584969	58712.03378623265	2.4845869587889196	2.559068269782087	3.5324047	3.7552495	0.49285836475646483	0.43362372563393803
95	5570.054110105	58700.54391467586	2.483176085354667	2.5583611827613586	3.5308177	3.7541873	0.4933139332379972	0.43394403575133067
96	5628.687209908	58681.72268317838	2.4831213060580635	2.5579688347004477	3.530303	3.7537193	0.49346166111849254	0.43408511174006126
97	5688.746838701	58675.84930568447	2.4828269458740877	2.558179308824029	3.529987	3.7535148	0.49355230197562205	0.4341468120875971
98	5746.363469491001	58665.77345355365	2.482953034969591	2.5583116866608377	3.530799	3.7544966	0.49331931610739854	0.4338508115339432
99	5803.650772017	58652.78253429291	2.484002277423183	2.5581722126017166	3.5308743	3.7532518	0.49329774789578296	0.4342260577935424
