Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
58	3649.5877216070003	68259.61412717031	2.5245291180466247	2.5797163601997894	3.5611675	3.742266	0.48456590058266436	0.4375333678609362
59	3712.077608989	68132.484384023	2.5302082733417066	2.5812035842960137	3.5683134	3.745505	0.4824952774704575	0.43655927222932
60	3774.7095972290003	67314.24661962957	2.5311545395998025	2.5826832995685858	3.5682669	3.7425885	0.4825088052834652	0.4374364562024299
61	3837.061991204	67228.08440577067	2.5319054124173386	2.587408417919894	3.577354	3.7537572	0.4798696998747283	0.43407370149694724
62	3899.270957985	67120.95529213973	2.531018878317785	2.5851016429224165	3.5720937	3.7477796	0.48139814437448447	0.43587466368745886
63	3962.0418731140003	67031.74703016662	2.537650297234397	2.586224821871788	3.578482	3.7470026	0.4795416317978949	0.4361086868922255
64	4024.239822405	66948.34231772195	2.538854825126799	2.589031905918039	3.585893	3.7614868	0.47738367247906854	0.43174071727410046
65	4086.497013695	66869.86042055314	2.5374058867426426	2.589295261616945	3.5830598	3.7562032	0.47820912646070846	0.43333598243987637
66	4148.869161852999	66719.47823566695	2.5419931760911703	2.593053601270723	3.592648	3.7697215	0.47541278624540784	0.42924984946653555
67	4211.410386769	66734.3846632422	2.543310734458852	2.5931839319277827	3.5945237	3.7666457	0.47486490315651575	0.4301808875762124
68	4273.623855729	66610.4203790078	2.542492442014417	2.595346376786535	3.5934324	3.767622	0.47518369488081347	0.4298854334176555
69	4336.1836051029995	66529.14412035941	2.5493741942273185	2.5949561376646693	3.5999494	3.7677872	0.47327837256680405	0.4298354017951953
70	4398.401755743	66104.67629666711	2.542489570319971	2.5919278288689265	3.5916867	3.7611141	0.4756934396360243	0.4318532871003128
71	4460.6640646979995	66023.80896462302	2.5448214691972932	2.592402244146002	3.590956	3.7544158	0.47590686337948285	0.43387517094639716
72	4522.864504647	66016.61353921119	2.5420624011388653	2.5915940336865373	3.5917966	3.7616072	0.4756613324139175	0.43170436310678173
73	4585.414403916	65957.84563452206	2.5424206886493605	2.5928701237861658	3.591385	3.7591772	0.4757815773687103	0.4324383139638802
74	4647.568655722999	65914.38467580115	2.549297549697679	2.596299647267315	3.6023693	3.7663198	0.47257001704243695	0.43027956542275403
75	4709.603565455	65856.62696762163	2.5514774309325245	2.5979864952417704	3.60724	3.7724087	0.4711427766323454	0.42843592697383537
76	4772.102828002	65834.4070792577	2.5466692411028857	2.595444567452877	3.5999947	3.766963	0.4732651671742997	0.4300848433518377
77	4834.493268947	65808.79795822853	2.5448104397365006	2.5946742675118943	3.5964165	3.7643766	0.47431166831495664	0.4308672252145619
78	4897.563028670999	65770.80848069847	2.5508881125935394	2.5976939858103307	3.6037688	3.7665455	0.47216013836358595	0.43021119414891285
79	4960.988621383	65706.47869083544	2.5472450466990257	2.5959717682927774	3.5997753	3.767149	0.4733293385611671	0.4300285732829431
80	5023.495240126999	65484.939988834354	2.5485299027916444	2.5968033325174855	3.6014802	3.766533	0.47283035159540365	0.43021500565245097
