Epoch	Time(sec)	Loss_train	MAE_dev	MAE_test	RMSE_dev	RMSE_test	R2_dev	R2_test
1	75.75813495099987	321186.81031225796	3.882974829515907	3.829236034547242	4.963299	5.0049744	-0.0012191057611774525	-0.006077047447572204
2	143.810420754	294632.13341304485	3.657004294107334	3.6226982461585	4.647342	4.6929355	0.12219565483741723	0.11546181148517098
3	211.6314122429999	282573.3493590539	3.6695356517587734	3.6403879682818814	4.6370482	4.6413546	0.12608005944209089	0.13479899065303402
4	279.94320722299994	275989.635484696	3.618742567670671	3.59125187211712	4.5870943	4.6185856	0.14480787377880722	0.14326696518847237
5	347.3930555259999	270460.7014836924	3.6083206751089625	3.5607881403025994	4.6281734	4.6306415	0.129422079313676	0.13878862777150125
6	415.01237405000006	268817.2443727786	3.5922965311451933	3.566610493765803	4.584218	4.5886626	0.14587997238559258	0.15433219676287369
7	482.45675606199984	264139.6362170273	3.5687602828533307	3.5591887735325907	4.565916	4.5792046	0.1526862666034433	0.15781473336234952
8	550.294558215	264121.6208396725	3.518371907808329	3.5365629634662863	4.5316515	4.5826335	0.16535593290819373	0.15655311738831668
9	618.098588996	260730.34625599088	3.5588426248672596	3.5482834614636354	4.5357747	4.561567	0.1638363373329773	0.16428995659128598
10	686.0193941519999	255056.7294085953	3.5893753471114005	3.504235088488976	4.5989137	4.5867467	0.1403951016058732	0.15503835322126436
11	754.1890995879999	256116.82141302025	3.570162928976216	3.522845225616617	4.583376	4.5449367	0.14619379669661436	0.1703724049616584
12	821.930313389	255525.21176536212	3.5305683652775235	3.522285251322948	4.544834	4.5406055	0.16049270511282787	0.17195293577994786
13	889.878735066	252798.7891371765	3.525761730738887	3.4968217822442145	4.530055	4.5346966	0.1659439423974246	0.17410660735496286
14	957.6985073010001	253377.63549826381	3.53650657862708	3.4671889067120905	4.5493107	4.5198345	0.1588382440364018	0.1795113620230635
15	1025.527526082	252645.43697648478	3.5302165904637612	3.492782413481675	4.561419	4.549123	0.15435447477014208	0.16884355563790443
16	1093.0624338809998	252285.04810932005	3.553406741501069	3.495765614068919	4.54962	4.5330634	0.1587236646753719	0.17470149266291335
17	1160.699426308	251524.6248170748	3.5102080879047195	3.5498077459721835	4.513316	4.5551815	0.17209622044769735	0.16662800055488936
18	1228.7375065820002	251269.30531727395	3.543800597882115	3.479596171514828	4.5496945	4.50758	0.15869616712726398	0.1839545298060573
19	1296.361637038	250611.01098756687	3.5194746411257287	3.5175206121720923	4.5288825	4.559068	0.16637551105730441	0.16520546072746545
20	1363.7078779029998	248107.60939050844	3.5280525616664358	3.55259624811115	4.5619755	4.5971255	0.1541483630680116	0.15121004456674791
21	1431.013597535	246935.04111696495	3.511282764313269	3.5329945212022142	4.5191965	4.563809	0.169937497321196	0.16346826871083742
22	1498.949827557	246396.77095092752	3.5423230101838885	3.516854535120223	4.55649	4.562813	0.1561811899334441	0.1638334299630827
23	1567.09367625	246412.62080377666	3.5327621574498127	3.5098664218343067	4.562474	4.549952	0.1539635278617837	0.1685403845196709
